epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,106.99,0.62015,1.08392,1.00831,0.84338,0.16667,0.80643,0.59572,0.99441,2.89705,1.41791,0.00049915,0.00049915,0.00049915
56,108.855,0.8997,1.15751,1.14253,0.84338,0.16667,0.80643,0.59572,0.99441,2.89705,1.41791,0.000500829,0.000500829,0.000500829
57,111.161,0.93241,1.28865,1.19189,1,0.26579,0.89187,0.59917,0.97392,2.83688,1.31116,0.000502234,0.000502234,0.000502234
58,113.479,0.61482,1.15748,1.09478,1,0.26579,0.89187,0.59917,0.97392,2.83688,1.31116,0.000503363,0.000503363,0.000503363
59,115.581,0.81385,1.14402,1.14906,1,0.26579,0.89187,0.59917,0.97392,2.83688,1.31116,0.000504217,0.000504217,0.000504217
60,117.712,0.75399,0.99924,1.01015,1,0.75807,0.90071,0.65272,0.99249,2.6113,1.28739,0.000504797,0.000504797,0.000504797
61,119.534,0.67139,1.01134,0.93984,1,0.75807,0.90071,0.65272,0.99249,2.6113,1.28739,0.000505101,0.000505101,0.000505101
62,121.297,0.85008,1.36514,1.17843,1,0.75807,0.90071,0.65272,0.99249,2.6113,1.28739,0.00050513,0.00050513,0.00050513
63,123.399,0.71939,1.04748,0.98758,0.95845,0.80855,0.929,0.70124,0.79974,2.31178,1.11229,0.000504884,0.000504884,0.000504884
64,125.472,0.76887,1.08234,1.11667,0.95845,0.80855,0.929,0.70124,0.79974,2.31178,1.11229,0.000504363,0.000504363,0.000504363
65,127.449,0.71485,1.11056,1.03672,0.95845,0.80855,0.929,0.70124,0.79974,2.31178,1.11229,0.000503567,0.000503567,0.000503567
66,129.303,0.63651,0.96479,1.05692,0.91372,0.80235,0.9125,0.73408,0.79032,2.26931,1.07636,0.000502496,0.000502496,0.000502496
67,131.104,0.57223,0.99368,0.99205,0.91372,0.80235,0.9125,0.73408,0.79032,2.26931,1.07636,0.00050115,0.00050115,0.00050115
68,132.999,0.75149,1.13335,0.99798,0.91372,0.80235,0.9125,0.73408,0.79032,2.26931,1.07636,0.000499529,0.000499529,0.000499529
69,135.388,0.65729,0.96916,0.96391,0.8756,0.83333,0.9125,0.70298,0.81239,2.22907,1.07742,0.000497633,0.000497633,0.000497633
70,137.439,0.65583,0.97235,0.92967,0.8756,0.83333,0.9125,0.70298,0.81239,2.22907,1.07742,0.000495462,0.000495462,0.000495462
71,139.427,0.62283,0.96363,1.01495,0.8756,0.83333,0.9125,0.70298,0.81239,2.22907,1.07742,0.000493015,0.000493015,0.000493015
72,141.558,0.68251,1.03793,1.01458,0.86237,0.91494,0.995,0.67819,0.90251,2.28192,1.09184,0.000490294,0.000490294,0.000490294
73,143.817,0.81966,1.01927,1.12323,0.86237,0.91494,0.995,0.67819,0.90251,2.28192,1.09184,0.000487297,0.000487297,0.000487297
74,146.111,0.63271,1.22416,1.03681,0.86237,0.91494,0.995,0.67819,0.90251,2.28192,1.09184,0.000484026,0.000484026,0.000484026
75,148.499,0.72842,1.12256,1.02943,0.86855,0.9263,0.995,0.75946,0.68309,2.16984,0.98403,0.000480479,0.000480479,0.000480479
76,150.55,0.65598,1.04921,0.99192,0.86855,0.9263,0.995,0.75946,0.68309,2.16984,0.98403,0.000476658,0.000476658,0.000476658
77,152.652,0.74542,1.0311,1.09792,0.86855,0.9263,0.995,0.75946,0.68309,2.16984,0.98403,0.000472561,0.000472561,0.000472561
78,155.301,0.6894,0.93692,1.0277,0.86431,1,0.995,0.84177,0.64254,1.96675,0.97129,0.000468189,0.000468189,0.000468189
79,157.588,0.88898,1.24348,1.13053,0.86431,1,0.995,0.84177,0.64254,1.96675,0.97129,0.000463543,0.000463543,0.000463543
80,159.852,0.65541,1.08602,1.06135,0.86431,1,0.995,0.84177,0.64254,1.96675,0.97129,0.000458621,0.000458621,0.000458621
81,161.952,0.69654,0.96862,1.0658,0.96827,1,0.995,0.91227,0.54444,1.6718,0.89673,0.000453424,0.000453424,0.000453424
82,164.004,0.51117,0.98816,1.01237,0.96827,1,0.995,0.91227,0.54444,1.6718,0.89673,0.000447952,0.000447952,0.000447952
83,166.768,0.70668,0.938,1.08954,0.96827,1,0.995,0.91227,0.54444,1.6718,0.89673,0.000442205,0.000442205,0.000442205
84,169.621,0.65803,1.18321,1.03933,0.98131,1,0.995,0.92587,0.45877,1.51789,0.85545,0.000436183,0.000436183,0.000436183
85,171.875,0.55583,1.04236,1.06076,0.98131,1,0.995,0.92587,0.45877,1.51789,0.85545,0.000429886,0.000429886,0.000429886
86,174.196,0.68511,1.03895,1.07616,0.98131,1,0.995,0.92587,0.45877,1.51789,0.85545,0.000423314,0.000423314,0.000423314
87,176.236,0.62875,1.02743,1.00631,0.98131,1,0.995,0.92587,0.45877,1.51789,0.85545,0.000416467,0.000416467,0.000416467
88,178.349,0.68289,1.015,1.02227,0.96926,1,0.995,0.91506,0.47797,1.36962,0.89204,0.000409344,0.000409344,0.000409344
89,180.14,0.57509,0.88248,1.00094,0.96926,1,0.995,0.91506,0.47797,1.36962,0.89204,0.000401947,0.000401947,0.000401947
90,182.11,0.83695,1.26113,1.1408,0.96926,1,0.995,0.91506,0.47797,1.36962,0.89204,0.000394275,0.000394275,0.000394275
91,184.082,0.63074,0.93143,0.9951,0.96926,1,0.995,0.91506,0.47797,1.36962,0.89204,0.000386327,0.000386327,0.000386327
92,186.177,0.77382,0.96148,1.01908,0.97087,1,0.995,0.87331,0.58726,1.31042,0.95176,0.000378105,0.000378105,0.000378105
93,187.968,0.50116,0.90382,0.96879,0.97087,1,0.995,0.87331,0.58726,1.31042,0.95176,0.000369607,0.000369607,0.000369607
94,189.992,0.61112,1.05042,1.09992,0.97087,1,0.995,0.87331,0.58726,1.31042,0.95176,0.000360835,0.000360835,0.000360835
95,191.845,0.75188,1.06252,1.10645,0.97087,1,0.995,0.87331,0.58726,1.31042,0.95176,0.000351787,0.000351787,0.000351787
96,193.694,0.59328,0.94995,1.02663,0.97259,1,0.995,0.90379,0.55166,1.26118,0.92852,0.000342464,0.000342464,0.000342464
97,195.612,0.5822,0.9687,1.098,0.97259,1,0.995,0.90379,0.55166,1.26118,0.92852,0.000332867,0.000332867,0.000332867
98,197.522,0.65105,1.06164,0.98009,0.97259,1,0.995,0.90379,0.55166,1.26118,0.92852,0.000322994,0.000322994,0.000322994
99,199.297,0.57881,0.91452,0.94019,0.97259,1,0.995,0.90379,0.55166,1.26118,0.92852,0.000312846,0.000312846,0.000312846
100,201.088,0.68661,0.97318,0.94261,0.97454,1,0.995,0.92877,0.4229,1.23961,0.8483,0.000302423,0.000302423,0.000302423
101,202.951,0.49194,0.99114,1.01031,0.97454,1,0.995,0.92877,0.4229,1.23961,0.8483,0.000291725,0.000291725,0.000291725
102,204.846,0.42874,0.77664,0.89412,0.97454,1,0.995,0.92877,0.4229,1.23961,0.8483,0.000277972,0.000277972,0.000277972
103,206.844,0.51691,0.82685,0.98492,0.97454,1,0.995,0.92877,0.4229,1.23961,0.8483,0.00026422,0.00026422,0.00026422
104,208.744,0.53153,0.83528,0.9653,0.97484,1,0.995,0.95085,0.37235,1.2386,0.81385,0.000250467,0.000250467,0.000250467
105,210.575,0.67601,0.91365,1.03436,0.97484,1,0.995,0.95085,0.37235,1.2386,0.81385,0.000236714,0.000236714,0.000236714
106,212.484,0.50937,0.90077,0.96722,0.97484,1,0.995,0.95085,0.37235,1.2386,0.81385,0.000222961,0.000222961,0.000222961
107,214.425,0.6737,1.09048,1.08874,0.97484,1,0.995,0.95085,0.37235,1.2386,0.81385,0.000209209,0.000209209,0.000209209
108,216.511,0.44137,0.83678,0.88074,0.98234,1,0.995,0.93566,0.36227,1.26354,0.79415,0.000195456,0.000195456,0.000195456
109,218.37,0.61965,0.87062,0.91954,0.98234,1,0.995,0.93566,0.36227,1.26354,0.79415,0.000181703,0.000181703,0.000181703
110,220.186,0.55988,0.87349,0.94517,0.98234,1,0.995,0.93566,0.36227,1.26354,0.79415,0.00016795,0.00016795,0.00016795
111,222.001,0.3763,1.29608,0.91392,0.98234,1,0.995,0.93566,0.36227,1.26354,0.79415,0.000154198,0.000154198,0.000154198
112,224.07,0.39314,1.35745,0.87468,0.98495,1,0.995,0.97302,0.3393,1.2977,0.78512,0.000140445,0.000140445,0.000140445
113,225.91,0.43413,1.43762,0.92607,0.98495,1,0.995,0.97302,0.3393,1.2977,0.78512,0.000126692,0.000126692,0.000126692
114,227.972,0.42448,1.30627,0.91837,0.98495,1,0.995,0.97302,0.3393,1.2977,0.78512,0.000112939,0.000112939,0.000112939
115,229.866,0.35526,1.2561,0.76366,0.98495,1,0.995,0.97302,0.3393,1.2977,0.78512,9.91865e-05,9.91865e-05,9.91865e-05
116,231.849,0.30031,1.22511,0.86394,0.98333,1,0.995,0.97302,0.32279,1.30103,0.77482,8.54337e-05,8.54337e-05,8.54337e-05
117,233.797,0.3874,1.30739,0.89679,0.98333,1,0.995,0.97302,0.32279,1.30103,0.77482,7.1681e-05,7.1681e-05,7.1681e-05
118,235.632,0.34678,1.21094,0.84574,0.98333,1,0.995,0.97302,0.32279,1.30103,0.77482,5.79283e-05,5.79283e-05,5.79283e-05
119,237.438,0.31648,1.21889,0.88558,0.98333,1,0.995,0.97302,0.32279,1.30103,0.77482,4.41755e-05,4.41755e-05,4.41755e-05
120,239.549,0.34014,1.23498,0.89194,0.98368,1,0.995,0.97302,0.31744,1.26353,0.77145,3.04227e-05,3.04227e-05,3.04227e-05
